"county","tract","state","zcta5","stab","cntyname","zipname","intptlon","intptlat","pop10","afact"
"County code","Tract","State code","ZIP census tabulation area","State abbreviation","County name","ZCTA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","tract to zcta5 allocation factor"
"47001","0201.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.268796,36.001829,3111,1 
"47001","0202.01","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.213287,36.017235,3670,1 
"47001","0202.02","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.228826,36.022426,4507,1 
"47001","0203.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.226627,36.041852,3822,1 
"47001","0204.00","47","37716","TN","Anderson TN","Clinton, TN",-84.254316,36.040885,108,0.023957 
"47001","0204.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.255821,36.025659,4400,0.976042 
"47001","0205.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.28288,36.014043,3809,0.985766 
"47001","0205.00","47","37840","TN","Anderson TN","Oliver Springs, TN",-84.293812,36.021036,55,0.014234 
"47001","0206.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.308056,36.001637,2427,1 
"47001","0207.00","47","37710","TN","Anderson TN","Briceville, TN",-84.235928,36.171586,992,0.594724 
"47001","0207.00","47","37769","TN","Anderson TN","Lake City, TN",-84.177556,36.210483,676,0.405276 
"47001","0208.00","47","37716","TN","Anderson TN","Clinton, TN",-84.145477,36.174217,74,0.015179 
"47001","0208.00","47","37769","TN","Anderson TN","Lake City, TN",-84.141833,36.209932,4801,0.98482 
"47001","0209.01","47","37705","TN","Anderson TN","Andersonville, TN",-84.024246,36.220551,3069,0.525784 
"47001","0209.01","47","37716","TN","Anderson TN","Clinton, TN",-84.043876,36.174243,152,0.026041 
"47001","0209.01","47","37754","TN","Anderson TN","Heiskell, TN",-83.993074,36.169189,1186,0.203187 
"47001","0209.01","47","37828","TN","Anderson TN","Norris, TN",-84.072736,36.195585,1430,0.244989 
"47001","0209.02","47","37705","TN","Anderson TN","Andersonville, TN",-84.097144,36.189924,497,0.085469 
"47001","0209.02","47","37716","TN","Anderson TN","Clinton, TN",-84.090586,36.160239,3719,0.639553 
"47001","0209.02","47","37754","TN","Anderson TN","Heiskell, TN",-84.059386,36.116527,1599,0.274978 
"47001","0210.00","47","37710","TN","Anderson TN","Briceville, TN",-84.245744,36.133387,149,0.024394 
"47001","0210.00","47","37716","TN","Anderson TN","Clinton, TN",-84.261633,36.058161,2406,0.393909 
"47001","0210.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.317897,36.00702,105,0.017191 
"47001","0210.00","47","37840","TN","Anderson TN","Oliver Springs, TN",-84.317033,36.045758,3448,0.564505 
"47001","0211.00","47","37716","TN","Anderson TN","Clinton, TN",-84.177727,36.079949,3398,0.853769 
"47001","0211.00","47","37830","TN","Anderson TN","Oak Ridge, TN",-84.212596,36.055075,582,0.146231 
"47001","0212.01","47","37716","TN","Anderson TN","Clinton, TN",-84.151751,36.123882,4887,1 
"47001","0212.02","47","37716","TN","Anderson TN","Clinton, TN",-84.130448,36.105701,5372,1 
"47001","0213.01","47","37716","TN","Anderson TN","Clinton, TN",-84.144698,36.06935,3302,1 
"47001","0213.02","47","37716","TN","Anderson TN","Clinton, TN",-84.13794,36.036776,2331,0.316025 
"47001","0213.02","47","37754","TN","Anderson TN","Heiskell, TN",-84.091028,36.077752,42,0.005694 
"47001","0213.02","47","37849","TN","Anderson TN","Powell, TN",-84.108214,36.036558,4064,0.550976 
"47001","0213.02","47","37931","TN","Anderson TN","Knoxville, TN",-84.129833,36.001473,939,0.127305 
"47003","9501.00","47","37018","TN","Bedford TN","Beechgrove, TN",-86.257672,35.620323,72,0.019608 
